"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|50,"RUD_Speed"|"km/h"|-30|250|50,"LD_Speed"|"km/h"|-30|250|50,"LUD_Speed"|"km/h"|-30|250|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
33063,0,,,,,,,,0.13,-0.06,-0.52,-0,-2,0,0.14,,54,3950,8,30,60,0.502,0.0,577,4.89,13.2,0.0,1,20.0,1.31,4.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33083,0,,,,,,,,0.1,-0.06,-0.42,-0,-2,-0,0.12,,54,3806,8,30,60,0.502,0.0,549,4.88,13.2,0.0,1,18.4,1.34,4.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33103,0,,,,,,,,0.1,-0.06,-0.48,-0,-2,-0,0.11,,54,3795,8,30,61,0.502,0.0,555,4.89,13.2,0.0,1,18.4,1.38,4.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33123,0,,,,,,,,0.07,-0.03,-0.5,-0,-1,-1,0.08,,54,3621,8,30,61,0.502,0.0,515,4.93,13.2,0.0,1,16.4,1.42,4.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33143,0,0,3,34,34,32,31,1,0.1,-0.06,-0.62,-0,-2,-0,0.12,1,54,3503,8,30,63,0.502,0.0,502,4.9,13.3,0.0,1,15.7,2.58,4.3,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.5524
33163,0,,,,,,,,0.09,-0.05,-0.6,-0,-2,0,0.1,,54,3399,8,30,64,0.502,0.0,462,4.88,13.2,0.0,1,16.0,1.51,4.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33183,0,,,,,,,,0.04,-0.04,-0.52,-0,-0,-0,0.06,,54,3294,8,30,64,0.502,0.0,460,4.87,13.1,0.0,1,16.0,1.51,4.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33203,0,,,,,,,,0.02,-0.04,-0.54,-0,1,-0,0.04,,54,3194,8,30,65,0.502,0.0,440,4.87,13.1,0.0,1,16.4,2.64,3.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33223,0,,,,,,,,0.01,-0.05,-0.59,-0,0,-0,0.05,,54,3099,8,30,66,0.502,0.0,422,4.92,13.3,0.0,1,16.7,2.64,3.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33243,0,0,2,34,33,32,31,2,0.01,-0.05,-0.63,-0,-1,-0,0.05,0,54,3087,8,30,66,0.502,0.0,423,4.92,13.3,0.0,1,16.7,2.67,3.9,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.5541
33263,0,,,,,,,,0.01,-0.03,-0.7,-0,-1,-0,0.04,,54,3031,8,30,67,0.502,0.0,405,4.96,13.3,0.0,1,17.1,2.69,3.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33283,0,,,,,,,,0.0,-0.02,-0.76,-0,-1,0,0.02,,54,2936,8,30,67,0.502,0.0,401,4.92,13.2,0.0,1,16.9,2.63,3.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33303,0,,,,,,,,-0.01,-0.04,-0.81,-0,-1,-0,0.04,,54,2906,8,30,68,0.502,0.0,390,4.88,13.3,0.0,1,17.2,2.63,3.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33323,0,,,,,,,,-0.03,-0.05,-0.81,-0,-1,-0,0.06,,54,2904,8,30,69,0.502,0.0,388,4.85,13.1,0.0,1,17.4,2.66,3.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33343,0,-1,2,34,32,32,31,1,-0.04,-0.04,-0.77,-0,-1,-0,0.06,0,54,2792,8,30,70,0.502,0.0,385,4.85,13.0,0.0,1,16.9,1.49,3.6,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.5557
33363,0,,,,,,,,-0.04,-0.04,-0.8,-0,-1,0,0.06,,54,2746,8,30,71,0.503,0.0,365,4.9,13.2,0.0,1,16.7,1.51,3.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33383,0,,,,,,,,-0.03,-0.04,-0.9,-0,-1,0,0.05,,54,2706,8,30,72,0.503,0.0,370,4.9,13.3,0.0,1,16.5,2.65,3.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33403,0,,,,,,,,-0.01,-0.04,-0.87,-0,-1,0,0.04,,54,2702,8,30,72,0.503,0.0,364,4.92,13.3,0.0,1,16.5,2.65,3.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33423,0,,,,,,,,-0.01,-0.02,-0.89,-0,-1,0,0.03,,54,2727,8,30,72,0.503,0.0,358,4.92,13.2,0.0,1,16.6,2.66,3.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33443,0,0,0,34,32,31,31,2,-0.02,-0.02,-0.86,-0,-1,0,0.03,0,54,2704,8,30,73,0.503,0.0,359,4.87,13.1,0.0,1,16.5,2.7,3.3,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.5574
33463,0,,,,,,,,-0.02,-0.02,-0.84,-0,-1,0,0.03,,54,2711,8,30,74,0.503,0.0,367,4.9,13.3,0.0,1,16.6,2.76,3.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33483,0,,,,,,,,-0.01,-0.02,-0.94,-0,-1,1,0.03,,54,2706,8,30,74,0.503,0.0,358,4.9,13.3,0.0,1,16.5,1.65,3.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33503,0,,,,,,,,0.01,-0.04,-0.92,-0,-1,0,0.04,,54,2738,8,30,74,0.503,0.0,366,4.91,13.3,0.0,1,16.7,2.77,3.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33523,0,,,,,,,,0.01,-0.02,-0.91,-0,-1,0,0.02,,54,2761,8,30,74,0.503,0.0,365,4.9,13.2,0.0,1,17.0,2.77,3.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33543,0,-1,2,34,32,31,31,2,-0.01,-0.02,-0.93,-0,-1,0,0.02,0,54,2748,8,30,74,0.503,0.0,358,4.95,13.2,0.0,1,16.8,2.77,3.5,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.559
33563,0,,,,,,,,-0.01,-0.0,-0.87,-0,-1,0,0.01,,54,2710,8,30,75,0.503,0.0,370,4.9,13.1,0.0,1,16.6,1.7,3.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33583,0,,,,,,,,-0.01,-0.0,-0.91,-0,-0,0,0.01,,54,2729,8,30,75,0.503,0.0,364,4.91,13.2,0.0,1,16.6,1.71,3.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33603,0,,,,,,,,-0.0,-0.0,-0.99,-0,-0,0,0.0,,54,2808,8,30,75,0.503,0.0,371,4.9,13.3,0.0,1,17.5,1.71,3.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33623,0,,,,,,,,0.03,-0.02,-1.01,-0,-1,0,0.03,,54,2828,8,30,75,0.503,0.0,378,4.93,13.3,0.0,1,17.7,1.72,3.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33643,0,-0,2,34,32,32,30,2,0.04,-0.02,-0.98,-0,-1,0,0.04,0,54,2759,8,30,76,0.503,0.0,365,4.91,13.3,0.0,1,17.1,2.87,3.6,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.5607
33663,0,,,,,,,,0.03,-0.03,-1.0,-0,-1,0,0.04,,54,2775,8,30,75,0.503,0.0,367,4.93,13.2,0.0,1,17.2,2.82,3.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33683,0,,,,,,,,0.01,-0.03,-0.97,-0,-1,0,0.03,,54,2891,8,30,76,0.503,0.0,379,4.93,13.2,0.0,1,18.6,2.84,3.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33703,0,,,,,,,,-0.01,-0.01,-0.92,-0,-1,0,0.01,,54,2863,8,30,76,0.503,0.0,382,4.85,13.0,0.0,1,18.3,2.88,3.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33723,0,,,,,,,,-0.02,-0.02,-0.86,-0,-1,0,0.03,,54,2820,8,30,76,0.503,0.0,385,4.85,13.0,0.0,1,17.8,1.76,3.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33743,0,-1,2,34,32,32,31,1,-0.03,-0.02,-0.87,-0,-0,0,0.04,0,54,2912,8,30,76,0.503,0.0,383,4.91,13.2,0.0,1,18.9,2.88,3.8,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.5624
33763,0,,,,,,,,-0.04,-0.02,-0.85,-0,1,0,0.05,,54,2958,8,30,76,0.503,0.0,390,4.91,13.3,0.0,1,19.4,1.77,3.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33783,0,,,,,,,,-0.05,-0.02,-0.89,-0,1,0,0.05,,54,2957,8,30,76,0.503,0.0,401,4.91,13.2,0.0,1,19.1,1.77,3.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33803,0,,,,,,,,-0.05,-0.03,-0.91,-0,2,1,0.06,,54,2935,8,30,76,0.503,0.0,386,4.91,13.2,0.0,1,19.2,1.77,3.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33823,0,,,,,,,,-0.06,-0.04,-0.95,-0,2,1,0.07,,54,3001,8,30,76,0.503,0.0,405,4.9,13.2,0.0,1,20.0,1.78,3.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33843,0,0,1,34,32,32,31,1,-0.07,-0.05,-0.92,-0,3,1,0.09,0,54,3067,8,30,76,0.503,0.0,406,4.9,13.2,0.0,1,20.0,1.77,3.9,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.564
33863,0,,,,,,,,-0.09,-0.05,-0.91,-0,4,1,0.11,,54,3069,8,30,76,0.503,0.0,411,4.9,13.1,0.0,1,20.0,1.77,3.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33883,0,,,,,,,,-0.11,-0.05,-0.83,-0,4,1,0.12,,54,3091,8,30,75,0.503,0.0,417,4.87,13.0,0.0,1,19.6,1.75,3.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33903,0,,,,,,,,-0.13,-0.04,-0.77,-0,4,0,0.14,,54,3175,8,30,75,0.503,0.0,417,4.9,13.1,0.0,1,19.6,1.73,4.1,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33923,0,,,,,,,,-0.14,-0.03,-0.81,-0,4,0,0.14,,54,3233,8,30,75,0.503,0.0,433,4.91,13.2,0.0,1,19.6,2.83,4.1,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33943,0,0,1,34,33,32,30,1,-0.1,-0.04,-0.86,-0,2,0,0.1,0,54,3247,8,30,75,0.503,0.0,435,4.91,13.2,0.0,1,19.6,2.83,4.1,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.5657
33963,0,,,,,,,,-0.05,-0.02,-0.92,-0,1,-0,0.06,,54,3265,8,30,75,0.503,0.0,442,4.91,13.2,0.0,1,19.6,2.83,4.1,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
33983,0,,,,,,,,-0.07,-0.01,-0.93,-0,2,1,0.07,,54,3348,8,30,75,0.503,0.0,452,4.92,13.2,0.0,1,19.6,1.69,4.1,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34003,0,,,,,,,,-0.1,-0.02,-0.79,-0,3,-0,0.1,,54,3429,8,30,74,0.503,0.0,458,4.87,13.2,0.0,1,19.3,2.8,4.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34023,0,,,,,,,,-0.07,-0.02,-0.89,-0,2,0,0.07,,54,3407,8,30,75,0.503,0.0,467,4.93,13.2,0.0,1,19.6,2.8,4.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34043,0,-1,2,34,33,32,31,2,-0.02,0.0,-0.96,-0,0,0,0.02,0,54,3385,8,30,75,0.503,0.0,458,4.9,13.3,0.0,1,19.6,2.81,4.4,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.5674
34063,0,,,,,,,,-0.06,0.03,-0.82,-0,1,-0,0.06,,54,3483,8,30,75,0.503,0.0,476,4.91,13.2,0.0,1,19.6,2.79,4.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34083,0,,,,,,,,-0.06,0.02,-0.85,-0,2,-0,0.07,,55,3502,8,30,74,0.502,0.0,470,4.91,13.2,0.0,1,19.3,2.78,4.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34103,0,,,,,,,,-0.0,-0.0,-0.95,-0,-0,-0,0.01,,55,3454,8,30,74,0.502,0.0,483,4.91,13.3,0.0,1,19.3,1.67,4.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34123,0,,,,,,,,-0.04,0.02,-0.82,-0,0,0,0.04,,55,3533,8,30,74,0.502,0.0,476,4.91,13.1,0.0,1,19.6,1.66,4.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34143,0,-1,2,34,32,32,31,2,-0.04,-0.01,-0.85,-0,1,-0,0.04,0,55,3570,8,30,74,0.502,0.0,488,4.92,13.2,0.0,1,19.9,1.65,4.4,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.569
34163,0,,,,,,,,0.03,-0.02,-0.95,-0,-1,0,0.04,,55,3513,8,30,74,0.502,0.0,483,4.91,13.3,0.0,1,19.4,1.67,4.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34183,0,,,,,,,,-0.01,0.0,-0.75,-0,-0,-0,0.01,,55,3584,8,30,74,0.502,0.0,500,4.88,13.0,0.0,1,20.0,1.64,4.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34203,0,,,,,,,,-0.0,-0.01,-0.86,-0,1,0,0.01,,55,3638,8,30,74,0.502,0.0,498,4.92,13.3,0.0,1,20.5,2.73,4.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34223,0,,,,,,,,-0.0,-0.02,-0.87,-0,-0,1,0.02,,55,3594,8,30,74,0.502,0.0,512,4.87,13.1,0.0,1,20.0,1.64,4.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34243,0,0,2,34,31,32,30,2,-0.02,-0.0,-0.74,-0,0,-0,0.02,0,55,3638,8,30,73,0.502,0.0,505,4.87,13.2,0.0,1,20.2,2.73,4.5,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.5707
34263,0,,,,,,,,0.02,-0.02,-0.84,-0,-1,0,0.03,,55,3696,8,30,74,0.502,0.0,515,4.88,13.2,0.0,1,21.0,1.6,4.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34283,0,,,,,,,,-0.02,0.0,-0.69,-0,0,-0,0.02,,55,3649,8,30,73,0.502,0.0,520,4.89,13.2,0.0,1,20.3,2.73,4.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34303,0,,,,,,,,0.01,-0.02,-0.8,-0,-0,0,0.02,,55,3680,8,30,73,0.502,0.0,507,4.91,13.3,0.0,1,20.6,2.72,4.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34323,0,,,,,,,,-0.01,-0.03,-0.63,-0,0,0,0.03,,55,3735,8,30,73,0.502,0.0,539,4.9,13.2,0.0,1,21.1,2.7,4.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34343,0,1,1,34,32,31,31,2,0.01,-0.03,-0.75,-0,-0,0,0.03,0,55,3715,8,30,73,0.502,0.0,516,4.91,13.3,0.0,1,20.9,2.7,4.6,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.5724
34363,0,,,,,,,,-0.0,-0.04,-0.56,-0,-1,-0,0.04,,55,3758,8,30,73,0.502,0.0,538,4.85,13.0,0.0,1,21.3,2.69,4.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34383,0,,,,,,,,0.03,-0.05,-0.68,-0,-1,-0,0.06,,55,3759,8,30,73,0.502,0.0,526,4.92,13.3,0.0,1,21.3,2.69,4.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34403,0,,,,,,,,-0.0,-0.06,-0.57,-0,-0,-0,0.06,,55,3739,8,30,72,0.502,0.0,541,4.84,13.1,0.0,1,20.8,2.7,4.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34423,0,,,,,,,,0.02,-0.07,-0.69,-0,-0,-0,0.07,,55,3794,8,30,72,0.502,0.0,525,4.91,13.2,0.0,1,21.4,1.58,4.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34443,0,0,2,34,32,32,31,1,-0.01,-0.06,-0.54,-0,-0,-0,0.06,0,55,3797,8,30,72,0.502,0.0,552,4.91,13.2,0.0,1,21.4,2.69,4.6,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.574
34463,0,,,,,,,,0.01,-0.06,-0.66,-0,1,0,0.07,,55,3835,8,30,72,0.502,0.0,535,4.91,13.3,0.0,1,21.7,2.68,4.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34483,0,,,,,,,,-0.0,-0.06,-0.59,-0,0,-0,0.06,,55,3852,8,30,71,0.502,0.0,558,4.9,13.2,0.0,1,21.6,2.69,4.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34503,0,,,,,,,,0.0,-0.07,-0.71,-0,1,1,0.07,,55,3834,8,30,71,0.502,0.0,540,4.9,13.2,0.0,1,21.5,2.69,4.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34523,0,,,,,,,,0.02,-0.06,-0.82,-0,0,1,0.06,,55,3934,8,30,71,0.502,0.0,557,4.9,13.3,0.0,1,22.4,2.67,4.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34543,0,0,0,34,32,31,30,2,-0.01,-0.06,-0.58,-0,-0,0,0.06,0,55,3927,8,30,71,0.502,0.0,558,4.88,13.1,0.0,1,22.3,2.67,4.7,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.5757
34563,0,,,,,,,,-0.0,-0.06,-0.7,-0,1,1,0.06,,55,3975,8,30,70,0.502,0.0,567,4.9,13.2,0.0,1,22.6,1.58,4.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34583,0,,,,,,,,0.03,-0.1,-0.81,-0,-0,1,0.11,,55,4073,8,30,70,0.502,0.0,569,4.91,13.3,0.0,1,23.9,2.71,4.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34603,0,,,,,,,,0.03,-0.11,-0.58,-0,-1,-0,0.12,,55,4155,8,30,69,0.502,0.0,585,4.9,13.2,0.0,1,24.8,2.78,5.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34623,0,,,,,,,,-0.01,-0.1,-0.36,-0,-1,-1,0.1,,55,4239,8,30,68,0.502,0.0,598,4.87,13.0,0.0,1,25.7,2.82,5.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34643,0,0,3,34,34,32,31,2,-0.06,-0.07,-0.5,-0,2,0,0.09,0,55,4234,8,30,67,0.502,0.0,601,4.89,13.1,0.0,1,25.5,2.77,5.2,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.5774
34663,0,,,,,,,,-0.08,-0.08,-0.62,-0,3,1,0.12,,55,4307,8,30,67,0.502,0.0,610,4.88,13.2,0.0,1,26.4,1.7,5.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34683,0,,,,,,,,-0.06,-0.09,-0.74,-0,4,3,0.11,,55,4388,8,30,66,0.502,0.0,611,4.91,13.3,0.0,1,27.2,1.69,5.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34703,0,,,,,,,,0.01,-0.11,-0.84,-0,1,2,0.11,,55,4321,8,30,65,0.502,0.0,616,4.9,13.3,0.0,1,26.0,2.72,5.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34723,0,,,,,,,,0.09,-0.12,-0.87,-0,-2,2,0.15,,55,4424,8,30,65,0.502,0.0,611,4.91,13.3,0.0,1,27.4,2.77,5.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34743,0,0,1,34,34,32,30,2,0.15,-0.12,-0.84,-0,-4,1,0.19,0,55,4436,8,30,64,0.502,0.0,617,4.91,13.3,0.0,1,27.3,2.73,5.4,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.579
34763,0,,,,,,,,0.23,-0.13,-0.65,-0,-6,-0,0.27,,55,4452,8,30,64,0.502,0.0,622,4.94,13.3,0.0,1,27.5,2.73,5.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34783,0,,,,,,,,0.3,-0.13,-0.64,-0,-8,-1,0.33,,55,4573,8,30,63,0.502,0.0,621,4.93,13.3,0.0,1,28.9,2.74,5.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34803,0,,,,,,,,0.37,-0.18,-0.73,-0,-10,-2,0.41,,55,4535,8,30,62,0.502,0.0,626,4.89,13.3,0.0,1,28.1,2.67,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34823,0,,,,,,,,0.43,-0.2,-0.84,-0,-11,-2,0.47,,55,4613,8,30,62,0.502,0.0,625,4.93,13.3,0.0,1,29.1,2.7,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34843,0,-1,2,34,34,32,31,2,0.46,-0.24,-0.93,-0,-10,-0,0.52,0,55,4637,8,30,61,0.501,0.0,626,4.96,13.3,0.0,1,29.2,1.56,5.7,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.5807
34863,0,,,,,,,,0.46,-0.26,-1.02,-0,-9,2,0.53,,55,4642,8,30,61,0.501,0.0,631,4.94,13.3,0.0,1,29.3,2.67,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34883,0,,,,,,,,0.37,-0.22,-1.1,-0,-6,4,0.43,,55,4675,8,30,60,0.501,0.0,629,4.88,13.1,0.0,1,29.4,1.56,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34903,0,,,,,,,,0.25,-0.18,-1.06,-0,-3,4,0.31,,55,4614,8,30,60,0.501,0.0,635,4.92,13.1,0.0,1,28.6,1.54,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34923,0,,,,,,,,0.12,-0.14,-0.86,-0,-1,3,0.19,,55,4569,8,30,60,0.501,0.0,628,4.89,13.0,0.0,1,28.0,1.53,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34943,0,1,2,34,34,32,31,1,0.01,-0.09,-0.7,-0,1,3,0.09,0,55,4519,8,30,59,0.501,0.0,627,4.89,13.0,0.0,1,27.0,2.62,5.7,0,0,0,1,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.5824
34963,0,,,,,,,,-0.09,-0.06,-0.51,-0,4,2,0.11,,55,4515,8,30,59,0.501,0.0,626,5.0,13.1,0.0,1,27.0,1.5,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
34983,0,,,,,,,,-0.17,-0.06,-0.41,-0,5,2,0.18,,55,4433,8,30,59,0.501,0.0,614,4.96,13.1,0.0,1,25.9,2.58,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35003,0,,,,,,,,-0.24,-0.04,-0.38,-0,6,2,0.24,,55,4478,8,30,59,0.501,0.0,622,4.92,13.2,0.0,1,26.5,2.59,5.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35023,0,,,,,,,,-0.29,-0.02,-0.51,-0,8,2,0.29,,55,4408,8,30,58,0.501,0.0,617,4.87,13.1,0.0,1,25.4,1.43,5.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
