SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

910 ;0:00,10 ;0 ;27 ;26;28;99;0,549 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,00 ;1,07 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
910 ;0:00,20 ;0 ;31 ;26;28;99;0,525 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,00 ;1,07 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
910 ;0:00,30 ;0 ;30 ;26;28;99;0,532 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,00 ;1,10 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
910 ;0:00,40 ;131 ;30 ;26;28;99;0,533 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;3,87 ;1,10 ;11,9 ;-1 ;9,39 ;30,0 ;0 ;0,0;0,0;
910 ;0:00,50 ;458 ;30 ;26;28;99;0,533 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,12 ;11,7 ;-1 ;9,39 ;30,0 ;0 ;1,9;0,0;
910 ;0:00,60 ;461 ;30 ;26;28;99;0,534 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,13 ;11,9 ;-1 ;9,39 ;30,0 ;0 ;1,9;0,0;
910 ;0:00,70 ;462 ;32 ;26;28;99;0,539 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,12 ;11,7 ;-1 ;9,39 ;30,0 ;0 ;1,9;0,0;
910 ;0:00,80 ;462 ;45 ;26;28;99;0,547 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,13 ;11,9 ;-1 ;17,63 ;30,0 ;0 ;1,9;0,0;
910 ;0:00,90 ;453 ;44 ;26;28;99;0,554 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,16 ;11,7 ;-1 ;17,63 ;30,0 ;0 ;3,7;0,0;
910 ;0:01,00 ;451 ;57 ;26;28;99;0,556 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;1,15 ;11,7 ;-1 ;17,63 ;30,0 ;0 ;3,6;0,0;
910 ;0:01,10 ;462 ;44 ;26;28;99;0,558 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,16 ;11,7 ;-1 ;17,35 ;30,0 ;0 ;3,6;0,0;
910 ;0:01,20 ;1275 ;14 ;26;28;97;0,564 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,26 ;11,8 ;-1 ;15,11 ;30,8 ;0 ;3,6;0,0;
910 ;0:01,30 ;969 ;52 ;26;28;97;0,549 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;1,40 ;11,0 ;-1 ;13,18 ;28,6 ;0 ;8,0;0,0;
910 ;0:01,40 ;1326 ;32 ;26;28;97;0,524 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;1,43 ;11,0 ;-1 ;12,28 ;31,2 ;0 ;4,3;0,0;
910 ;0:01,50 ;2697 ;27 ;26;28;94;0,509 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;2,56 ;11,1 ;-1 ;12,15 ;28,3 ;0 ;11,0;0,0;
910 ;0:01,60 ;3676 ;39 ;26;28;98;0,529 ;0,0 ;0,0 ;0,0 ;2,0 ;0 ;4,83 ;5,90 ;12,3 ;-1 ;14,27 ;32,7 ;0 ;13,7;0,0;
910 ;0:01,70 ;5952 ;9 ;26;28;82;0,554 ;0,0 ;0,0 ;0,0 ;2,0 ;0 ;4,77 ;6,44 ;12,1 ;-1 ;12,21 ;38,2 ;0 ;25,5;0,0;
910 ;0:01,80 ;5600 ;7 ;26;28;64;0,567 ;0,0 ;0,0 ;0,0 ;2,0 ;0 ;4,78 ;6,42 ;12,9 ;-1 ;5,89 ;34,7 ;0 ;27,8;0,0;
910 ;0:01,90 ;4927 ;7 ;26;28;61;0,563 ;0,0 ;0,0 ;0,0 ;2,0 ;0 ;4,86 ;6,29 ;13,3 ;-1 ;5,07 ;33,0 ;0 ;12,6;0,0;
910 ;0:02,00 ;4557 ;26 ;26;27;70;0,561 ;0,0 ;0,0 ;0,0 ;2,0 ;0 ;4,83 ;6,22 ;13,3 ;-1 ;8,10 ;30,5 ;0 ;8,9;0,0;
910 ;0:02,10 ;6101 ;35 ;26;27;92;0,560 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,48 ;13,2 ;-1 ;13,86 ;40,7 ;0 ;23,9;0,0;
910 ;0:02,20 ;7982 ;24 ;26;27;80;0,559 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,77 ;13,0 ;-1 ;6,11 ;37,1 ;0 ;31,9;0,0;
910 ;0:02,30 ;8648 ;28 ;26;27;75;0,562 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,91 ;13,1 ;-1 ;5,86 ;42,2 ;0 ;23,1;0,0;
910 ;0:02,40 ;8296 ;7 ;26;27;50;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,88 ;13,1 ;-1 ;3,52 ;37,4 ;0 ;20,1;0,0;
910 ;0:02,50 ;6980 ;7 ;26;27;43;0,566 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,63 ;13,1 ;-1 ;2,86 ;32,1 ;0 ;10,5;0,0;
910 ;0:02,60 ;5732 ;8 ;26;27;45;0,564 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;6,41 ;13,2 ;-1 ;3,11 ;30,3 ;0 ;8,6;0,0;
910 ;0:02,70 ;5206 ;32 ;26;27;74;0,565 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,31 ;13,1 ;-1 ;5,51 ;37,6 ;0 ;8,6;0,0;
910 ;0:02,80 ;6358 ;37 ;26;27;93;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,51 ;13,2 ;-1 ;7,64 ;43,3 ;0 ;19,1;0,0;
910 ;0:02,90 ;8600 ;11 ;26;27;68;0,568 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,94 ;13,2 ;-1 ;4,90 ;42,9 ;0 ;24,0;0,0;
910 ;0:03,00 ;8067 ;7 ;26;27;44;0,569 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;6,82 ;13,2 ;-1 ;2,94 ;34,5 ;0 ;15,8;0,0;
910 ;0:03,10 ;6722 ;7 ;26;27;40;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,62 ;13,0 ;-1 ;2,68 ;30,9 ;0 ;9,6;0,0;
910 ;0:03,20 ;5516 ;17 ;26;27;50;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,41 ;13,1 ;-1 ;3,26 ;31,1 ;0 ;7,6;0,0;
910 ;0:03,30 ;5737 ;30 ;26;27;84;0,566 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,42 ;13,2 ;-1 ;5,72 ;39,2 ;0 ;8,7;0,0;
910 ;0:03,40 ;6308 ;7 ;26;27;80;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,50 ;13,0 ;-1 ;5,19 ;39,7 ;0 ;17,7;0,0;
910 ;0:03,50 ;7402 ;7 ;26;27;56;0,568 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,72 ;13,2 ;-1 ;2,66 ;36,8 ;0 ;12,5;0,0;
910 ;0:03,60 ;7181 ;8 ;26;27;45;0,568 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,71 ;13,2 ;-1 ;2,51 ;33,1 ;0 ;9,1;0,0;
910 ;0:03,70 ;6916 ;25 ;26;27;61;0,566 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,61 ;13,2 ;-1 ;3,08 ;37,9 ;0 ;7,8;0,0;
910 ;0:03,80 ;7760 ;15 ;26;27;75;0,569 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,78 ;13,2 ;-1 ;5,02 ;39,8 ;0 ;15,8;0,0;
910 ;0:03,90 ;8442 ;7 ;26;27;45;0,572 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;6,90 ;13,3 ;-1 ;2,94 ;35,6 ;0 ;13,8;0,0;
910 ;0:04,00 ;7242 ;8 ;26;27;38;0,570 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,73 ;13,2 ;-1 ;2,37 ;30,7 ;0 ;9,2;0,0;
910 ;0:04,10 ;5994 ;8 ;26;27;41;0,574 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,47 ;13,3 ;-1 ;2,44 ;30,0 ;0 ;7,5;0,0;
910 ;0:04,20 ;5000 ;17 ;27;27;51;0,573 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,29 ;13,3 ;-1 ;4,97 ;30,8 ;0 ;6,8;0,0;
910 ;0:04,30 ;5360 ;25 ;27;27;80;0,573 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,36 ;13,2 ;-1 ;7,22 ;38,9 ;0 ;11,3;0,0;
910 ;0:04,40 ;6613 ;7 ;27;27;71;0,570 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,57 ;13,1 ;-1 ;5,79 ;39,3 ;0 ;20,7;0,0;
910 ;0:04,50 ;6916 ;7 ;27;27;54;0,573 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,61 ;13,1 ;-1 ;2,74 ;35,6 ;0 ;11,0;0,0;
910 ;0:04,60 ;7022 ;22 ;27;27;60;0,573 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,64 ;13,0 ;-1 ;3,97 ;37,9 ;0 ;8,1;0,0;
910 ;0:04,70 ;8351 ;24 ;27;27;70;0,571 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,86 ;13,2 ;-1 ;6,02 ;41,7 ;0 ;20,4;0,0;
910 ;0:04,80 ;8400 ;7 ;27;27;55;0,571 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,87 ;13,3 ;-1 ;3,75 ;39,2 ;0 ;20,8;0,0;
910 ;0:04,90 ;7533 ;7 ;27;27;40;0,572 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,71 ;13,2 ;-1 ;2,33 ;31,5 ;0 ;9,6;0,0;
910 ;0:05,00 ;6260 ;11 ;27;27;42;0,576 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,51 ;13,2 ;-1 ;2,32 ;30,7 ;0 ;7,5;0,0;
910 ;0:05,10 ;5778 ;25 ;27;27;71;0,574 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,43 ;13,2 ;-1 ;4,07 ;36,3 ;0 ;6,5;0,0;
910 ;0:05,20 ;6313 ;19 ;27;27;82;0,571 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,52 ;13,0 ;-1 ;4,19 ;40,2 ;0 ;13,2;0,0;
910 ;0:05,30 ;7560 ;7 ;27;27;59;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;6,75 ;13,3 ;-1 ;2,45 ;37,5 ;0 ;11,9;0,0;
910 ;0:05,40 ;8162 ;7 ;27;27;41;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,86 ;13,2 ;-1 ;2,48 ;32,6 ;0 ;8,7;0,0;
910 ;0:05,50 ;7281 ;7 ;27;27;36;0,566 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,68 ;13,0 ;-1 ;2,16 ;30,1 ;0 ;8,4;0,0;
910 ;0:05,60 ;6095 ;7 ;27;27;39;0,567 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,48 ;13,0 ;-1 ;2,32 ;29,9 ;0 ;6,9;0,0;
910 ;0:05,70 ;5081 ;7 ;27;27;43;0,568 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,33 ;13,3 ;-1 ;2,71 ;28,6 ;0 ;6,3;0,0;
910 ;0:05,80 ;4431 ;7 ;27;27;47;0,568 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,18 ;13,0 ;-1 ;2,52 ;22,7 ;0 ;5,8;0,0;
910 ;0:05,90 ;4014 ;14 ;27;27;52;0,571 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,13 ;13,1 ;-1 ;3,37 ;18,9 ;0 ;4,7;0,0;
910 ;0:06,00 ;4230 ;28 ;27;27;86;0,573 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,10 ;13,3 ;-1 ;5,93 ;29,9 ;0 ;7,6;0,0;
910 ;0:06,10 ;3774 ;19 ;27;27;92;0,574 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,07 ;13,1 ;-1 ;6,28 ;28,1 ;0 ;12,0;0,0;
910 ;0:06,20 ;3564 ;7 ;27;27;81;0,576 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,03 ;13,0 ;-1 ;3,14 ;0,0 ;0 ;9,3;0,0;
910 ;0:06,30 ;3277 ;17 ;27;27;83;0,581 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,93 ;13,3 ;-1 ;5,43 ;22,5 ;0 ;5,0;0,0;
910 ;0:06,40 ;3223 ;24 ;27;27;93;0,585 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,90 ;13,3 ;-1 ;6,45 ;27,2 ;0 ;8,8;0,0;
910 ;0:06,50 ;3401 ;7 ;27;27;90;0,587 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,02 ;13,0 ;-1 ;3,73 ;-0,5 ;0 ;9,3;0,0;
910 ;0:06,60 ;3280 ;8 ;27;27;83;0,588 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;5,96 ;13,2 ;-1 ;3,30 ;-0,5 ;0 ;5,7;0,0;
910 ;0:06,70 ;2923 ;27 ;27;27;94;0,590 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;5,61 ;13,4 ;-1 ;5,93 ;28,0 ;0 ;4,8;0,0;
910 ;0:06,80 ;2493 ;28 ;27;27;97;0,590 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;4,56 ;13,4 ;-1 ;5,20 ;32,6 ;0 ;7,5;0,0;
910 ;0:06,90 ;2290 ;7 ;27;27;92;0,591 ;0,0 ;0,0 ;0,0 ;0,7 ;0 ;4,86 ;4,07 ;13,4 ;-1 ;3,24 ;-0,5 ;0 ;5,7;0,0;
910 ;0:07,00 ;2186 ;7 ;27;27;87;0,591 ;0,0 ;0,0 ;0,0 ;0,7 ;0 ;4,86 ;3,99 ;13,3 ;-1 ;3,17 ;-0,5 ;0 ;3,8;0,0;
910 ;0:07,10 ;2317 ;15 ;27;27;90;0,591 ;0,0 ;0,0 ;0,0 ;1,2 ;0 ;4,86 ;4,08 ;13,4 ;-1 ;5,33 ;23,0 ;0 ;3,3;0,0;
910 ;0:07,20 ;2754 ;20 ;27;27;94;0,591 ;0,0 ;0,0 ;0,0 ;1,2 ;0 ;4,82 ;4,70 ;13,1 ;-1 ;5,48 ;28,2 ;0 ;5,5;0,0;
910 ;0:07,30 ;2506 ;30 ;27;28;97;0,590 ;0,0 ;0,0 ;0,0 ;1,2 ;0 ;4,83 ;4,68 ;13,0 ;-1 ;5,27 ;32,6 ;0 ;7,1;0,0;
910 ;0:07,40 ;2156 ;31 ;27;28;98;0,590 ;0,0 ;0,0 ;0,0 ;1,2 ;0 ;4,87 ;3,84 ;13,4 ;-1 ;5,02 ;34,0 ;0 ;5,4;0,0;
910 ;0:07,50 ;2167 ;29 ;27;28;98;0,590 ;0,0 ;0,0 ;0,0 ;1,2 ;0 ;4,83 ;3,82 ;13,2 ;-1 ;4,77 ;34,0 ;0 ;5,1;0,0;
910 ;0:07,60 ;2323 ;29 ;27;28;98;0,590 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;3,90 ;13,2 ;-1 ;4,59 ;34,0 ;0 ;4,5;0,0;
910 ;0:07,70 ;2052 ;34 ;27;28;98;0,592 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;3,67 ;13,3 ;-1 ;4,34 ;34,0 ;0 ;4,6;0,0;
910 ;0:07,80 ;1864 ;39 ;27;28;99;0,593 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;3,40 ;13,4 ;-1 ;4,15 ;34,0 ;0 ;3,8;0,0;
910 ;0:07,90 ;2200 ;39 ;27;28;99;0,594 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;3,81 ;13,3 ;-1 ;3,91 ;34,0 ;0 ;3,9;0,0;
910 ;0:08,00 ;1654 ;7 ;27;28;95;0,594 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;3,08 ;12,9 ;-1 ;3,72 ;0,2 ;0 ;3,5;0,0;
910 ;0:08,10 ;2074 ;7 ;27;28;92;0,593 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;3,63 ;13,4 ;-1 ;3,53 ;0,2 ;0 ;3,0;0,0;
910 ;0:08,20 ;2246 ;27 ;27;28;96;0,595 ;0,0 ;0,0 ;0,0 ;8,4 ;0 ;4,82 ;3,96 ;13,2 ;-1 ;5,27 ;31,2 ;0 ;3,4;0,0;
910 ;0:08,30 ;2704 ;29 ;28;28;97;0,596 ;0,0 ;0,0 ;0,0 ;8,4 ;0 ;4,86 ;4,85 ;13,4 ;-1 ;5,55 ;31,6 ;0 ;6,5;0,0;
910 ;0:08,40 ;2296 ;22 ;28;28;97;0,595 ;0,0 ;0,0 ;0,0 ;8,4 ;0 ;4,86 ;4,07 ;13,4 ;-1 ;4,89 ;32,6 ;0 ;5,7;0,0;
910 ;0:08,50 ;2521 ;7 ;28;28;90;0,592 ;0,0 ;0,0 ;0,0 ;8,4 ;0 ;4,87 ;4,35 ;13,4 ;-1 ;4,65 ;0,4 ;0 ;5,0;0,0;
910 ;0:08,60 ;2682 ;11 ;28;27;88;0,593 ;0,0 ;0,0 ;0,0 ;8,4 ;0 ;4,86 ;4,67 ;13,4 ;-1 ;4,45 ;0,4 ;0 ;4,9;0,0;
910 ;0:08,70 ;3008 ;26 ;28;27;94;0,595 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;5,39 ;13,3 ;-1 ;6,07 ;28,0 ;0 ;5,2;0,0;
910 ;0:08,80 ;2983 ;27 ;28;27;96;0,594 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;5,60 ;13,3 ;-1 ;6,00 ;29,6 ;0 ;8,4;0,0;
910 ;0:08,90 ;4147 ;22 ;28;27;95;0,595 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,15 ;13,3 ;-1 ;6,40 ;34,1 ;0 ;10,5;0,0;
910 ;0:09,00 ;5769 ;7 ;28;27;77;0,593 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,45 ;13,2 ;-1 ;5,48 ;37,5 ;0 ;12,0;0,0;
910 ;0:09,10 ;5488 ;7 ;28;27;64;0,587 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,38 ;13,3 ;-1 ;3,19 ;34,8 ;0 ;12,0;0,0;
910 ;0:09,20 ;4777 ;7 ;28;27;61;0,580 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,23 ;13,2 ;-1 ;2,76 ;31,0 ;0 ;6,7;0,0;
910 ;0:09,30 ;4174 ;7 ;28;27;60;0,578 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,15 ;13,2 ;-1 ;2,51 ;22,8 ;0 ;5,4;0,0;
910 ;0:09,40 ;3603 ;7 ;28;27;63;0,580 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,05 ;13,4 ;-1 ;2,62 ;0,0 ;0 ;4,4;0,0;
910 ;0:09,50 ;2764 ;8 ;28;27;68;0,584 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,48 ;13,1 ;-1 ;2,74 ;-0,3 ;0 ;4,0;0,0;
910 ;0:09,60 ;2192 ;18 ;28;27;81;0,586 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;4,08 ;13,0 ;-1 ;3,03 ;13,3 ;0 ;3,3;0,0;
910 ;0:09,70 ;2545 ;28 ;28;27;96;0,587 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;4,28 ;13,4 ;-1 ;5,28 ;31,1 ;0 ;5,1;0,0;
910 ;0:09,80 ;4577 ;30 ;28;27;95;0,587 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,18 ;13,2 ;-1 ;6,27 ;38,5 ;0 ;10,2;0,0;
910 ;0:09,90 ;6848 ;24 ;28;27;88;0,586 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,59 ;13,2 ;-1 ;5,71 ;47,2 ;0 ;14,4;0,0;
910 ;0:10,00 ;8036 ;7 ;28;27;62;0,586 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,82 ;13,3 ;-1 ;2,68 ;38,1 ;0 ;16,1;0,0;
910 ;0:10,10 ;6885 ;7 ;28;27;48;0,587 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,61 ;13,4 ;-1 ;2,27 ;33,4 ;0 ;8,2;0,0;
910 ;0:10,20 ;5681 ;7 ;28;27;48;0,591 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,43 ;13,3 ;-1 ;2,51 ;30,8 ;0 ;6,8;0,0;
910 ;0:10,30 ;4671 ;7 ;28;27;50;0,594 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;6,25 ;13,3 ;-1 ;2,67 ;26,4 ;0 ;6,6;0,0;
910 ;0:10,40 ;4041 ;7 ;28;27;53;0,597 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,13 ;13,4 ;-1 ;2,26 ;19,5 ;0 ;5,2;0,0;
910 ;0:10,50 ;3363 ;7 ;28;27;59;0,598 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;5,97 ;13,2 ;-1 ;2,51 ;-0,3 ;0 ;4,0;0,0;
910 ;0:10,60 ;2672 ;7 ;28;27;66;0,599 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,02 ;13,4 ;-1 ;2,69 ;-0,3 ;0 ;3,6;0,0;
910 ;0:10,70 ;2139 ;7 ;28;27;73;0,599 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;3,93 ;13,4 ;-1 ;2,84 ;-0,2 ;0 ;3,1;0,0;
910 ;0:10,80 ;1505 ;7 ;28;27;82;0,601 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,89 ;13,3 ;-1 ;3,05 ;-0,2 ;0 ;2,5;0,0;
910 ;0:10,90 ;1202 ;8 ;28;27;90;0,604 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,38 ;13,2 ;-1 ;3,24 ;1,2 ;0 ;1,8;0,0;
910 ;0:11,00 ;796 ;8 ;28;27;95;0,605 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,95 ;13,1 ;-1 ;3,24 ;1,2 ;0 ;1,5;0,0;
910 ;0:11,10 ;827 ;10 ;28;27;96;0,607 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;1,90 ;13,0 ;-1 ;3,24 ;3,9 ;0 ;1,4;0,0;
910 ;0:11,20 ;822 ;10 ;28;27;97;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,89 ;13,1 ;-1 ;3,24 ;3,9 ;0 ;1,6;0,0;
910 ;0:11,30 ;1420 ;19 ;28;27;97;0,607 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,27 ;13,3 ;-1 ;5,33 ;31,9 ;0 ;1,5;0,0;
910 ;0:11,40 ;2194 ;25 ;28;27;98;0,606 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;3,37 ;13,4 ;-1 ;5,33 ;34,0 ;0 ;3,6;0,0;
910 ;0:11,50 ;3241 ;19 ;28;27;95;0,606 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,75 ;13,4 ;-1 ;6,31 ;28,7 ;0 ;8,1;0,0;
910 ;0:11,60 ;3992 ;7 ;28;27;83;0,604 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,10 ;13,1 ;-1 ;4,70 ;0,0 ;0 ;10,7;0,0;
910 ;0:11,70 ;5149 ;7 ;28;27;72;0,603 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,31 ;13,4 ;-1 ;4,43 ;37,1 ;0 ;9,5;0,0;
910 ;0:11,80 ;5447 ;7 ;28;27;66;0,602 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,36 ;13,4 ;-1 ;3,40 ;35,3 ;0 ;9,9;0,0;
910 ;0:11,90 ;5170 ;7 ;29;27;62;0,602 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,30 ;13,3 ;-1 ;2,82 ;34,3 ;0 ;6,9;0,0;
910 ;0:12,00 ;4896 ;7 ;29;27;61;0,603 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,27 ;13,3 ;-1 ;2,81 ;32,6 ;0 ;6,6;0,0;
910 ;0:12,10 ;4569 ;7 ;29;27;60;0,602 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,20 ;13,4 ;-1 ;2,68 ;28,0 ;0 ;6,1;0,0;
910 ;0:12,20 ;4304 ;8 ;29;27;60;0,601 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,16 ;13,4 ;-1 ;2,56 ;24,5 ;0 ;5,5;0,0;
910 ;0:12,30 ;4125 ;8 ;29;27;62;0,602 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,14 ;13,4 ;-1 ;2,56 ;22,7 ;0 ;4,8;0,0;
910 ;0:12,40 ;4158 ;8 ;29;27;63;0,603 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,16 ;13,2 ;-1 ;2,61 ;23,3 ;0 ;5,0;0,0;
910 ;0:12,50 ;4225 ;9 ;29;27;64;0,607 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,16 ;13,3 ;-1 ;2,68 ;24,5 ;0 ;5,1;0,0;
910 ;0:12,60 ;4299 ;9 ;29;27;64;0,607 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,18 ;13,3 ;-1 ;2,71 ;25,5 ;0 ;5,1;0,0;
910 ;0:12,70 ;4464 ;9 ;29;27;64;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,20 ;13,1 ;-1 ;2,78 ;27,7 ;0 ;5,5;0,0;
