"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|50,"Height_LF"|"mm"|0|255|50,"Height_LR"|"mm"|0|80|50,"Height_RR"|"mm"|0|255|50,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|10,"RUD_Speed"|"km/h"|-30|250|10,"LD_Speed"|"km/h"|-30|250|10,"LUD_Speed"|"km/h"|-30|250|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
22064,1629466702092,,,245,250,236,233,,-0.09,-0.06,1.75,1,-6,-4,0.11,,64,5690,4,34,58,0.694,0.0,623,4.94,13.2,0.0,1,33.2,2.42,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22084,1629466702112,,,245,250,236,233,,-0.07,-0.04,1.92,1,-1,-0,0.08,,64,5697,4,34,58,0.695,0.0,633,4.86,13.1,0.0,1,33.2,2.41,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22104,1629466702132,,,245,251,236,233,,-0.06,-0.02,2.08,1,3,4,0.06,,64,5718,4,34,58,0.694,0.0,629,4.86,13.1,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22124,1629466702152,,,245,250,236,233,,-0.13,0.01,1.92,1,7,9,0.13,,64,5711,4,34,58,0.691,0.0,619,4.86,13.0,0.0,1,33.2,1.28,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22144,1629466702172,2,2,245,251,236,233,-10,-0.2,-0.04,1.77,0,8,9,0.2,1,64,5723,4,34,58,0.691,0.0,630,4.93,13.1,0.0,1,33.2,2.39,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,,0.0,0,0.0,0.3691
22164,1629466702192,,,245,251,235,232,,-0.14,-0.08,1.76,0,1,2,0.16,,64,5707,4,34,58,0.692,0.0,631,4.92,13.1,0.0,1,33.2,1.28,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22184,1629466702212,,,245,250,236,232,,-0.11,-0.04,1.94,0,5,4,0.12,,64,5714,4,34,58,0.695,0.0,629,4.88,13.2,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22204,1629466702232,,,245,251,236,233,,-0.09,-0.01,2.09,0,9,7,0.09,,64,5700,4,34,58,0.695,0.0,625,4.87,13.1,0.0,1,33.2,2.41,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22224,1629466702252,,,245,251,236,233,,-0.15,-0.02,1.93,1,14,12,0.15,,64,5699,4,34,58,0.693,0.0,627,4.88,12.9,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22244,1629466702272,0,4,245,250,235,233,-10,-0.24,-0.06,1.78,0,15,12,0.24,1,64,5674,4,34,58,0.692,0.0,627,4.88,13.0,0.0,1,33.2,1.3,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3707
22264,1629466702292,,,245,250,236,233,,-0.15,-0.07,1.8,0,5,5,0.17,,64,5709,4,34,58,0.695,0.0,620,4.92,13.1,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22284,1629466702312,,,245,250,236,232,,-0.05,-0.02,1.97,0,0,2,0.05,,64,5700,4,34,58,0.697,0.0,623,4.87,13.1,0.0,1,33.2,2.41,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22304,1629466702332,,,245,251,236,233,,-0.03,0.0,2.13,0,4,4,0.04,,64,5704,4,34,58,0.697,0.0,627,4.88,13.1,0.0,1,33.2,2.41,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22324,1629466702352,,,245,249,236,232,,-0.11,-0.01,1.96,1,8,9,0.11,,64,5711,4,34,58,0.694,0.0,625,4.88,13.0,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22344,1629466702372,2,2,245,251,236,233,-10,-0.19,-0.07,1.81,0,8,9,0.2,1,64,5692,4,34,58,0.694,0.0,620,4.87,13.0,0.0,1,33.2,1.29,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,,0.0,0,0.0,0.3724
22364,1629466702392,,,245,250,236,233,,-0.14,-0.09,1.67,1,2,3,0.16,,64,5725,4,34,58,0.697,0.0,623,4.94,13.2,0.0,1,33.2,2.39,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22384,1629466702412,,,245,250,236,233,,-0.05,-0.03,1.85,0,-2,-0,0.06,,64,5707,4,34,58,0.699,0.0,634,4.9,13.1,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22404,1629466702432,,,245,250,236,233,,-0.01,0.02,2.02,0,1,1,0.02,,64,5712,4,34,58,0.699,0.0,637,4.87,13.1,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22424,1629466702452,,,245,251,236,233,,-0.07,0.05,1.86,1,7,7,0.09,,64,5711,4,34,58,0.695,0.0,621,4.85,13.0,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22444,1629466702472,1,2,245,250,236,233,-10,-0.17,-0.0,1.72,1,7,7,0.17,1,64,5714,4,34,58,0.694,0.0,622,4.85,13.0,0.0,1,33.2,1.28,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3741
22464,1629466702491,,,245,250,236,232,,-0.15,-0.06,1.58,1,2,3,0.16,,64,5718,4,34,58,0.695,0.0,628,4.88,13.1,0.0,1,33.2,1.28,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22484,1629466702511,,,245,250,236,233,,-0.04,-0.02,1.77,0,-4,-2,0.04,,64,5704,4,34,58,0.698,0.0,630,4.96,13.2,0.0,1,33.2,2.41,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22504,1629466702531,,,245,250,236,233,,0.01,0.03,1.94,0,-3,-2,0.03,,64,5685,4,34,58,0.699,0.0,624,4.87,13.0,0.0,1,33.2,2.42,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22524,1629466702551,,,245,250,236,233,,-0.05,0.05,1.79,0,2,4,0.08,,64,5685,4,34,58,0.697,0.0,617,4.86,12.9,0.0,1,33.2,2.42,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22544,1629466702571,1,3,245,250,236,232,-10,-0.14,0.01,1.65,1,3,5,0.14,1,64,5664,4,34,58,0.697,0.0,621,4.83,13.0,0.0,1,33.2,1.32,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,,0.0,0,0.0,0.3757
22564,1629466702591,,,245,249,236,233,,-0.08,-0.06,1.68,1,-4,-1,0.1,,64,5664,4,34,58,0.699,0.0,623,4.96,13.2,0.0,1,33.2,2.43,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22584,1629466702611,,,245,250,236,233,,-0.0,0.01,1.86,1,-6,-4,0.01,,64,5645,4,34,58,0.702,0.0,620,4.96,13.2,0.0,1,33.2,2.45,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22604,1629466702631,,,245,250,236,233,,-0.03,0.03,1.93,1,-0,1,0.04,,64,5668,4,34,58,0.701,0.0,620,4.85,12.8,0.0,1,33.2,2.43,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22624,1629466702651,,,245,250,235,233,,-0.13,0.01,1.78,1,4,5,0.13,,64,5645,5,34,58,0.698,0.0,623,4.9,13.1,0.0,1,33.2,2.45,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22644,1629466702671,0,3,245,249,236,233,-10,-0.13,-0.04,1.65,1,-1,1,0.13,1,64,5662,4,34,58,0.697,0.0,621,4.9,13.1,0.0,1,33.2,1.31,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3774
22664,1629466702693,,,245,250,236,232,,-0.01,-0.01,1.83,1,-7,-4,0.01,,64,5702,4,34,58,0.7,0.0,618,4.88,13.2,0.0,1,33.2,2.41,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22684,1629466702713,,,245,251,236,233,,0.02,0.02,1.99,1,-6,-4,0.03,,64,5706,5,34,58,0.702,0.0,622,4.9,13.2,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22704,1629466702733,,,245,251,236,233,,-0.04,0.02,1.84,1,-0,2,0.04,,64,5709,4,34,58,0.701,0.0,629,4.86,12.9,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22724,1629466702753,,,245,251,236,233,,-0.15,-0.03,1.7,1,4,5,0.15,,64,5718,4,34,58,0.699,0.0,628,4.85,12.9,0.0,1,33.2,1.28,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22744,1629466702773,2,2,245,251,236,233,-10,-0.14,-0.09,1.57,1,-2,1,0.17,1,64,5728,5,34,58,0.698,0.0,623,4.92,13.2,0.0,1,33.2,2.39,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,,0.0,0,0.0,0.3791
22764,1629466702793,,,245,251,236,233,,-0.05,-0.07,1.75,1,-7,-4,0.09,,64,5742,4,34,58,0.699,0.0,631,4.95,13.2,0.0,1,33.2,2.38,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22784,1629466702813,,,245,250,236,233,,0.01,-0.01,1.93,1,-9,-7,0.01,,64,5746,4,34,58,0.702,0.0,639,4.92,13.1,0.0,1,33.2,2.38,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22804,1629466702833,,,245,251,236,233,,0.0,0.03,2.09,1,-3,-3,0.03,,64,5733,4,34,58,0.701,0.0,639,4.83,13.1,0.0,1,33.2,2.39,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22824,1629466702853,,,245,251,236,232,,-0.07,0.02,1.92,1,2,3,0.08,,64,5748,4,34,58,0.698,0.0,622,4.88,13.0,0.0,1,33.2,1.26,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22844,1629466702873,1,3,245,250,236,233,-11,-0.16,-0.03,1.78,1,3,4,0.16,1,64,5742,4,34,58,0.696,0.0,622,4.92,13.1,0.0,1,33.2,2.38,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3807
22864,1629466702893,,,245,250,236,232,,-0.12,-0.09,1.64,1,1,2,0.15,,64,5748,4,34,58,0.699,0.0,625,4.9,13.1,0.0,1,33.2,1.26,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22884,1629466702913,,,245,250,236,232,,-0.02,-0.04,1.82,1,-5,-3,0.05,,64,5718,4,34,58,0.701,0.0,629,4.92,13.2,0.0,1,33.2,2.4,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22904,1629466702933,,,245,250,236,232,,0.03,0.01,1.99,0,-5,-4,0.04,,64,5730,4,34,58,0.701,0.0,623,4.92,13.2,0.0,1,33.2,2.39,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22924,1629466702953,,,245,250,236,232,,0.0,0.04,1.84,0,-0,1,0.04,,64,5726,4,34,58,0.7,0.0,622,4.84,12.9,0.0,1,33.2,2.39,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22944,1629466702973,-0,2,245,250,236,232,-10,-0.09,0.03,1.69,0,4,5,0.1,1,64,5723,4,34,58,0.699,0.0,626,4.86,13.0,0.0,1,33.2,2.39,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,,0.0,0,0.0,0.3824
22964,1629466702993,,,245,250,236,232,,-0.13,-0.05,1.56,1,1,4,0.13,,64,5721,4,34,58,0.7,0.0,625,4.88,13.0,0.0,1,33.2,2.39,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
22984,1629466703005,,,245,250,236,232,,-0.04,-0.06,1.75,1,-4,-2,0.07,,64,5723,4,34,58,0.702,0.0,620,4.93,13.1,0.0,1,33.2,1.27,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23004,1629466703025,,,245,250,236,233,,0.02,-0.01,1.92,0,-6,-5,0.02,,64,5711,4,35,58,0.702,0.0,629,4.86,13.1,0.0,1,33.2,2.39,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23024,1629466703045,,,245,251,236,233,,-0.0,-0.01,2.08,0,-1,-2,0.01,,64,5730,4,35,58,0.7,0.0,631,4.92,13.1,0.0,1,33.2,2.38,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23044,1629466703065,-0,2,245,250,236,233,-10,-0.08,-0.02,1.92,0,4,4,0.08,1,64,5721,4,35,58,0.698,0.0,635,4.82,12.9,0.0,1,33.2,2.38,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3841
23064,1629466703093,,,245,250,236,233,,-0.14,-0.04,1.77,-0,6,5,0.14,,64,5693,4,34,58,0.698,0.0,616,4.92,13.1,0.0,1,33.2,1.29,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23084,1629466703113,,,245,251,236,233,,-0.05,-0.05,1.89,0,-1,-1,0.07,,64,5744,4,34,58,0.701,0.0,617,4.94,13.1,0.0,1,33.2,2.38,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23104,1629466703133,,,245,250,236,233,,0.03,-0.01,2.06,0,-7,-5,0.03,,64,5711,4,35,58,0.702,0.0,633,4.89,13.2,0.0,1,33.2,2.39,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23124,1629466703153,,,245,250,236,233,,0.04,0.02,2.21,0,-4,-4,0.05,,64,5739,4,35,58,0.702,0.0,636,4.88,13.2,0.0,1,33.2,2.37,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23144,1629466703173,1,3,245,250,236,232,-10,-0.02,-0.0,2.04,0,1,1,0.02,1,64,5711,4,35,58,0.699,0.0,630,4.85,13.0,0.0,1,33.2,2.39,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,,0.0,0,0.0,0.3857
23164,1629466703191,,,245,250,236,232,,-0.13,-0.05,1.88,0,5,5,0.14,,64,5699,4,34,58,0.698,0.0,617,4.88,13.1,0.0,1,33.2,2.41,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23184,1629466703211,,,245,250,236,233,,-0.11,-0.1,1.73,0,2,2,0.15,,64,5733,5,34,58,0.7,0.0,622,4.91,13.1,0.0,1,33.2,1.27,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23204,1629466703231,,,245,250,236,233,,-0.02,-0.06,1.91,0,-4,-4,0.07,,64,5704,4,35,58,0.703,0.0,633,4.99,13.2,0.0,1,33.2,1.29,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23224,1629466703251,,,245,250,236,232,,0.02,-0.01,2.07,0,-5,-5,0.02,,64,5751,4,35,58,0.705,0.0,626,4.87,13.1,0.0,1,33.3,2.36,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23244,1629466703271,-0,2,245,251,235,233,-10,0.0,0.03,2.12,-0,0,-2,0.03,1,64,5751,4,35,58,0.704,0.0,627,4.86,13.1,0.0,1,33.3,2.36,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3874
23264,1629466703291,,,245,250,236,232,,-0.09,0.02,1.96,0,5,3,0.09,,64,5776,4,35,58,0.703,0.0,626,4.87,13.0,0.0,1,33.3,2.35,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23284,1629466703311,,,245,250,236,233,,-0.16,-0.02,1.81,-0,8,6,0.16,,64,5781,4,34,58,0.703,0.0,630,4.84,12.9,0.0,1,33.3,1.24,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23304,1629466703331,,,245,249,236,233,,-0.14,-0.06,1.67,0,4,3,0.15,,64,5787,5,34,58,0.705,0.0,626,4.88,13.0,0.0,1,33.3,2.35,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23324,1629466703351,,,245,250,235,232,,-0.05,-0.06,1.85,0,-2,-2,0.08,,64,5803,4,34,58,0.706,0.0,624,4.95,13.1,0.0,1,33.3,1.22,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23344,1629466703371,0,3,245,250,236,232,-10,0.03,-0.02,2.01,0,-6,-5,0.03,1,64,5774,4,34,58,0.707,0.0,625,4.93,13.2,0.0,1,33.3,2.36,6.2,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,,0.0,0,0.0,0.3891
23364,1629466703391,,,245,250,236,233,,0.04,0.01,2.17,0,-6,-5,0.04,,64,5778,5,35,58,0.707,0.0,633,4.85,13.2,0.0,1,33.3,2.35,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23384,1629466703410,,,245,250,236,232,,0.01,0.02,2.0,0,-2,-1,0.02,,64,5762,5,35,58,0.707,0.0,631,4.87,13.1,0.0,1,33.3,2.36,6.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23404,1629466703430,,,245,250,236,233,,-0.08,0.02,1.84,0,2,3,0.08,,64,5749,5,35,58,0.707,0.0,621,4.88,13.0,0.0,1,33.2,2.37,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23424,1629466703450,,,245,251,236,233,,-0.13,-0.02,1.7,0,3,4,0.13,,64,5758,4,35,58,0.707,0.0,623,4.86,13.0,0.0,1,33.2,1.26,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23444,1629466703470,-1,2,245,250,236,233,-10,-0.05,-0.05,1.86,-0,-1,-0,0.08,1,64,5707,5,35,58,0.707,0.0,630,4.96,13.1,0.0,1,33.2,1.28,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3907
23464,1629466703492,,,245,251,236,233,,0.02,-0.02,2.02,-0,-5,-4,0.03,,64,5723,5,35,58,0.707,0.0,627,4.96,13.2,0.0,1,33.2,2.38,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23484,1629466703512,,,245,250,236,233,,-0.0,-0.0,2.17,-0,-2,-3,0.0,,64,5662,5,35,58,0.706,0.0,625,4.92,13.2,0.0,1,33.2,2.42,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23504,1629466703532,,,245,250,236,232,,-0.09,-0.01,2.01,0,3,2,0.09,,64,5673,5,35,58,0.706,0.0,627,4.83,12.9,0.0,1,33.2,2.42,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23524,1629466703552,,,245,250,236,233,,-0.11,-0.06,1.85,-0,4,3,0.13,,64,5654,5,35,58,0.706,0.0,620,4.87,13.1,0.0,1,33.2,1.32,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23544,1629466703572,0,0,245,251,235,233,-10,-0.02,-0.05,2.02,-0,-2,-2,0.05,1,64,5654,5,35,59,0.708,0.0,619,4.96,13.2,0.0,1,33.5,1.31,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,,0.0,0,0.0,0.3924
23564,1629466703592,,,245,250,236,233,,-0.0,0.01,2.17,-0,-3,-4,0.01,,64,5593,5,35,59,0.709,0.0,616,4.93,13.2,0.0,1,33.4,2.45,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23584,1629466703610,,,245,250,236,233,,-0.08,-0.0,2.0,-0,2,2,0.08,,64,5602,5,35,59,0.706,0.0,612,4.85,13.0,0.0,1,33.4,1.35,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23604,1629466703630,,,245,250,236,233,,-0.08,-0.1,1.85,-0,2,1,0.12,,64,5582,6,35,60,0.704,0.0,613,4.86,13.0,0.0,1,33.7,1.35,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23624,1629466703650,,,245,250,236,233,,-0.02,-0.03,2.01,-0,-3,-3,0.04,,64,5592,5,35,60,0.705,0.0,611,4.88,13.2,0.0,1,33.7,2.44,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23644,1629466703670,0,2,245,250,236,233,-11,-0.03,0.03,2.15,-0,-0,-2,0.04,1,64,5565,6,35,60,0.707,0.0,611,4.87,13.1,0.0,1,33.7,2.46,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3941
23664,1629466703690,,,245,250,236,233,,-0.09,-0.02,1.99,-0,3,2,0.09,,64,5555,6,35,61,0.706,0.0,615,4.93,13.1,0.0,1,34.0,2.45,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23684,1629466703710,,,245,250,236,233,,-0.02,-0.05,2.14,-0,-1,-2,0.06,,64,5539,5,35,61,0.706,0.0,610,4.86,13.1,0.0,1,34.0,2.48,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23704,1629466703730,,,245,250,236,232,,-0.01,0.02,2.28,-0,-2,-3,0.02,,64,5539,6,35,61,0.706,0.0,605,4.91,13.2,0.0,1,34.0,2.46,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23724,1629466703750,,,245,250,236,233,,-0.07,0.02,2.11,-0,2,1,0.07,,64,5508,6,35,61,0.703,0.0,607,4.86,12.9,0.0,1,34.0,1.38,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23744,1629466703770,-0,1,245,250,236,233,-11,-0.03,-0.06,2.04,-0,-1,-1,0.07,1,64,5530,6,35,61,0.704,0.0,611,4.88,13.1,0.0,1,34.0,1.37,6.3,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,,0.0,0,0.0,0.3957
23764,1629466703790,,,245,250,236,233,,-0.02,0.0,2.19,-0,-2,-3,0.02,,64,5517,6,35,61,0.706,0.0,610,4.94,13.2,0.0,1,34.0,2.47,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23784,1629466703810,,,245,250,236,232,,-0.08,0.0,2.02,-0,3,1,0.08,,64,5544,6,35,62,0.705,0.0,603,4.89,13.0,0.0,1,34.2,2.57,6.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23804,1629466703830,,,245,251,236,233,,-0.05,-0.08,1.86,-0,2,1,0.09,,64,5521,6,35,62,0.703,0.0,601,4.89,13.1,0.0,1,34.2,1.48,6.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23824,1629466703850,,,245,251,236,233,,-0.01,-0.0,2.03,-0,-3,-3,0.01,,64,5534,7,35,62,0.704,0.0,613,4.89,13.2,0.0,1,34.2,2.57,6.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23844,1629466703870,-1,2,245,250,236,233,-10,-0.06,0.0,1.87,-0,1,1,0.06,1,64,5519,9,35,63,0.705,0.0,602,4.85,12.9,0.0,1,34.5,2.69,6.6,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3974
23864,1629466703890,,,245,251,236,233,,-0.07,-0.08,1.73,-0,2,2,0.11,,64,5519,11,35,65,0.703,0.0,600,4.88,13.0,0.0,1,35.0,2.91,6.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23884,1629466703910,,,245,250,236,232,,-0.01,-0.0,1.9,-0,-3,-3,0.01,,64,5560,13,35,66,0.703,0.0,617,4.92,13.2,0.0,1,35.3,3.02,6.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23904,1629466703930,,,245,250,236,233,,-0.03,0.05,1.88,-0,-1,-1,0.06,,64,5628,15,35,69,0.704,0.0,618,4.9,13.1,0.0,1,36.0,3.33,8.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23924,1629466703950,,,245,250,236,232,,-0.1,0.02,1.74,-0,3,3,0.1,,64,5716,15,35,72,0.702,0.0,609,4.87,13.0,0.0,1,36.5,2.52,8.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23944,1629466703970,-1,2,245,250,236,233,-10,-0.12,-0.03,1.6,-0,5,5,0.13,1,64,5813,16,35,74,0.699,0.0,620,4.9,13.1,0.0,1,36.8,3.8,8.4,0,0,0,1,0,0,250,250,0,49.330502,8.566808,0.0,99.2,10,2,1.7,0,0.0,-1,0.0,,0.0,0,0.0,0.3991
23964,1629466703990,,,245,250,236,232,,-0.13,-0.07,1.48,-0,4,4,0.14,,64,5948,16,35,75,0.7,0.0,633,4.92,13.1,0.0,1,36.8,2.88,8.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
