"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|50,"RUD_Speed"|"km/h"|-30|250|50,"LD_Speed"|"km/h"|-30|250|50,"LUD_Speed"|"km/h"|-30|250|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
35064,1625651317043,,,,,,,,0.21,0.04,2.15,-0,-5,-7,0.21,,79,6558,13,30,68,0.632,0.0,606,4.88,13.9,0.0,1,38.4,3.41,10.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35084,1625651317063,,,,,,,,0.25,0.03,2.31,-0,-6,-7,0.26,,79,6918,13,30,66,0.63,0.0,637,4.75,13.8,0.0,1,39.5,3.16,10.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35104,1625651317091,,,,,,,,0.21,0.06,2.11,-0,-4,-5,0.22,,80,7104,13,30,65,0.629,0.0,646,4.79,13.7,0.0,1,39.5,3.05,10.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35124,1625651317111,,,,,,,,0.17,0.04,1.94,0,-2,-3,0.17,,80,7352,13,30,63,0.627,0.0,652,4.77,13.7,0.0,1,38.6,1.68,10.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35144,1625651317131,0,2,46,48,32,31,7,0.12,0.03,1.78,0,0,0,0.12,1,80,7603,13,30,62,0.626,0.0,652,4.81,13.7,0.0,1,38.1,2.65,10.3,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.9,0,0.0,-1,0.0,,0.0,0,0.01,0.5857
35164,1625651317151,,,,,,,,0.11,0.03,1.63,0,1,1,0.12,,79,7819,13,30,60,0.625,0.0,654,4.74,13.8,0.0,1,37.7,2.5,10.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35184,1625651317171,,,,,,,,0.15,-0.01,1.82,-0,-1,-3,0.15,,80,8016,13,30,58,0.623,0.0,667,4.8,13.9,0.0,1,37.5,1.39,9.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35204,1625651317191,,,,,,,,0.11,-0.04,1.67,0,-1,-1,0.12,,79,8223,12,30,56,0.621,0.0,661,4.84,13.8,0.0,1,39.0,2.75,9.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35224,1625651317211,,,,,,,,0.09,-0.05,1.69,-0,-1,-2,0.1,,79,8507,12,30,53,0.621,0.0,672,4.76,13.8,0.0,1,38.7,3.08,9.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35244,1625651317231,-1,2,46,48,32,32,6,0.09,-0.05,1.67,-0,-1,-3,0.11,1,80,8794,12,30,50,0.619,0.0,682,4.83,13.8,0.0,1,38.0,3.06,9.0,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.9,0,0.0,-1,0.0,0.0,0.0,0,0.01,0.5874
35264,1625651317251,,,,,,,,0.1,-0.1,1.55,0,-1,-4,0.14,,80,9001,12,30,47,0.616,0.0,678,4.75,13.8,0.0,1,37.0,2.97,12.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35284,1625651317271,,,,,,,,0.08,-0.11,1.45,-0,-0,-5,0.13,,80,9204,11,30,45,0.614,0.0,685,4.75,13.8,0.0,1,36.0,2.92,12.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35304,1625651317291,,,,,,,,0.04,-0.2,1.41,-0,0,-6,0.2,,80,9351,10,30,43,0.616,0.0,686,4.86,13.8,0.0,1,34.8,2.88,12.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35324,1625651317311,,,,,,,,0.01,-0.18,1.3,-0,1,-4,0.18,,80,9417,10,30,40,0.62,0.0,687,4.8,13.7,0.0,1,32.7,2.79,12.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35344,1625651317331,-1,2,45,48,32,32,6,0.06,-0.06,1.19,0,1,-1,0.09,0,80,9407,10,30,38,0.622,0.0,691,4.66,13.6,0.0,1,31.7,1.61,12.4,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.9,0,0.0,-1,0.0,,0.0,0,0.01,0.5891
35364,1625651317351,,,,,,,,0.06,-0.1,1.33,0,0,-3,0.11,,80,9333,10,30,36,0.624,0.0,688,4.75,13.8,0.0,1,31.1,1.53,12.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35384,1625651317371,,,,,,,,0.02,-0.15,1.55,-0,-1,-6,0.16,,80,9200,10,30,36,0.626,0.0,686,4.73,13.7,0.0,1,31.1,2.62,11.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35404,1625651317391,,,,,,,,-0.01,-0.11,1.49,-0,-2,-9,0.11,,80,8945,10,30,35,0.627,0.0,678,4.82,13.8,0.0,1,30.8,1.44,11.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35424,1625651317410,,,,,,,,0.01,-0.14,1.7,-1,-4,-12,0.14,,80,8684,10,30,36,0.629,0.0,678,4.75,13.6,0.0,1,31.1,1.49,11.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35444,1625651317430,1,1,46,48,32,32,7,0.04,-0.19,1.8,-0,-2,-8,0.19,0,80,8415,10,30,36,0.632,0.0,674,4.81,13.6,0.0,1,30.9,2.56,11.4,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.9,0,0.0,-1,0.0,0.0,0.0,0,0.01,0.5907
35464,1625651317450,,,,,,,,0.01,-0.18,1.65,-0,-3,-8,0.18,,80,8194,10,30,36,0.633,0.0,669,4.79,13.9,0.0,1,30.4,1.2,11.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35484,1625651317470,,,,,,,,0.0,-0.11,1.51,-0,0,-3,0.11,,80,7975,10,30,36,0.634,0.0,665,4.8,13.7,0.0,1,30.1,1.01,8.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35504,1625651317490,,,,,,,,0.05,-0.13,1.72,0,2,-0,0.14,,80,7706,9,30,37,0.635,0.0,660,4.79,13.7,0.0,1,30.4,2.18,8.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35524,1625651317510,,,,,,,,0.11,-0.18,1.89,0,3,0,0.21,,80,7473,9,30,38,0.636,0.0,660,4.77,13.8,0.0,1,30.7,2.23,8.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35544,1625651317530,1,2,46,48,32,31,7,0.11,-0.15,1.86,0,4,1,0.19,0,80,7287,10,30,39,0.636,0.0,650,4.82,13.8,0.0,1,31.0,1.17,8.8,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.9,0,0.0,-1,0.0,,0.0,0,0.01,0.5924
35564,1625651317550,,,,,,,,0.06,-0.13,1.71,0,3,2,0.14,,80,7110,10,30,40,0.633,0.0,652,4.84,13.8,0.0,1,31.3,2.29,7.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35584,1625651317570,,,,,,,,0.09,-0.12,1.82,0,1,-1,0.15,,80,7009,10,30,40,0.631,0.0,656,4.82,13.9,0.0,1,31.3,2.29,7.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35604,1625651317590,,,,,,,,0.1,-0.14,1.89,0,3,1,0.18,,80,6985,9,30,40,0.629,0.0,647,4.78,13.8,0.0,1,31.2,2.29,7.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35624,1625651317610,,,,,,,,0.05,-0.12,1.73,0,2,1,0.13,,80,6975,10,29,41,0.626,0.0,645,4.82,13.8,0.0,1,31.5,2.29,7.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35644,1625651317630,1,2,45,48,32,32,6,0.09,-0.14,1.92,0,1,-1,0.17,0,80,6949,10,29,41,0.625,0.0,650,4.8,13.8,0.0,1,31.4,2.29,7.5,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.9,0,0.0,-1,0.0,0.0,0.0,0,0.01,0.5941
35664,1625651317650,,,,,,,,0.06,-0.09,1.76,0,3,2,0.11,,80,6900,10,29,41,0.624,0.0,632,4.76,13.8,0.0,1,31.3,1.16,7.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35684,1625651317670,,,,,,,,0.05,-0.12,1.65,0,1,-0,0.13,,80,6906,9,29,42,0.623,0.0,638,4.81,13.9,0.0,1,31.6,1.15,7.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35704,1625651317690,,,,,,,,0.09,-0.08,1.83,0,2,0,0.12,,80,6883,10,29,42,0.622,0.0,641,4.75,13.7,0.0,1,31.6,2.29,7.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35724,1625651317708,,,,,,,,0.0,-0.1,1.68,0,2,0,0.1,,80,6878,9,29,42,0.623,0.0,636,4.86,13.9,0.0,1,31.6,1.16,7.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35744,1625651317728,-1,2,46,48,32,32,6,0.07,-0.09,1.87,0,0,-1,0.11,0,80,6845,10,29,42,0.622,0.0,639,4.79,13.9,0.0,1,31.6,2.29,7.3,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.9,0,0.0,-1,0.0,,0.0,0,0.01,0.5957
35764,1625651317748,,,,,,,,-0.0,-0.06,1.72,0,2,1,0.06,,80,6828,9,29,43,0.621,0.0,638,4.79,13.8,0.0,1,31.9,1.15,7.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35784,1625651317768,,,,,,,,0.04,-0.09,1.9,0,-0,-1,0.1,,80,6860,10,29,43,0.621,0.0,643,4.85,13.9,0.0,1,31.9,1.15,7.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35804,1625651317788,,,,,,,,0.01,-0.05,1.75,0,2,1,0.05,,80,6820,9,29,43,0.621,0.0,640,4.78,13.8,0.0,1,31.8,1.15,7.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35824,1625651317810,,,,,,,,0.04,-0.08,1.73,0,-1,-1,0.09,,80,6828,10,29,43,0.622,0.0,645,4.83,13.9,0.0,1,31.8,2.28,7.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35844,1625651317830,1,3,46,48,32,31,6,0.05,-0.02,1.74,0,2,2,0.05,0,80,6778,10,29,43,0.621,0.0,649,4.77,13.7,0.0,1,31.8,2.28,7.2,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.9,0,0.0,-1,0.0,0.0,0.0,0,0.01,0.5974
35864,1625651317850,,,,,,,,0.03,-0.04,1.6,0,-0,-0,0.04,,80,6833,11,29,44,0.622,0.0,638,4.85,13.9,0.0,1,32.1,2.27,7.1,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35884,1625651317870,,,,,,,,0.07,-0.01,1.8,0,1,0,0.07,,80,6875,12,29,45,0.623,0.0,640,4.75,13.9,0.0,1,32.5,2.27,7.1,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35904,1625651317892,,,,,,,,0.0,-0.01,1.65,0,1,1,0.01,,80,6916,12,29,46,0.623,0.0,640,4.82,13.8,0.0,1,32.9,2.25,7.1,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35924,1625651317912,,,,,,,,0.04,-0.02,1.83,0,-1,-1,0.04,,80,6962,12,29,47,0.623,0.0,644,4.8,13.9,0.0,1,33.3,1.11,7.1,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35944,1625651317932,1,2,45,48,32,32,6,0.05,-0.0,1.87,0,0,0,0.05,0,80,7022,13,29,48,0.622,0.0,639,4.76,13.8,0.0,1,33.7,2.23,7.1,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.9,0,0.0,-1,0.0,,0.0,0,0.01,0.5991
35964,1625651317952,,,,,,,,0.0,-0.01,1.71,0,2,2,0.01,,80,7126,13,29,49,0.622,0.0,643,4.76,13.8,0.0,1,34.4,2.24,7.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
35984,1625651317972,,,,,,,,-0.03,-0.01,1.57,0,1,1,0.03,,80,7211,13,29,50,0.623,0.0,641,4.83,13.9,0.0,1,34.9,2.26,7.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36004,1625651317992,,,,,,,,-0.02,0.02,1.63,0,-1,-1,0.03,,80,7307,11,29,50,0.622,0.0,647,4.73,13.9,0.0,1,35.1,1.16,7.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36024,1625651318004,,,,,,,,-0.0,-0.01,1.7,0,-2,-2,0.01,,80,7402,8,29,49,0.622,0.0,650,4.82,13.9,0.0,1,35.0,2.29,7.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36044,1625651318024,4,4,46,48,32,32,7,0.02,-0.02,1.78,0,-3,-4,0.03,0,80,7470,7,29,47,0.621,0.0,655,4.72,13.8,0.0,1,34.9,2.29,7.3,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.9,0,0.0,-1,0.0,0.0,0.0,0,0.01,0.6007
36064,1625651318044,,,,,,,,0.02,-0.0,1.91,0,-5,-7,0.02,,80,7545,7,29,45,0.621,0.0,653,4.78,13.9,0.0,1,34.0,2.3,8.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36084,1625651318064,,,,,,,,0.01,0.0,2.03,0,-6,-8,0.01,,80,7584,7,29,43,0.62,0.0,653,4.8,13.9,0.0,1,33.1,2.3,8.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36104,1625651318084,,,,,,,,-0.01,0.01,1.89,0,-7,-8,0.01,,80,7557,7,29,43,0.62,0.0,661,4.94,13.9,0.0,1,33.0,1.17,8.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36124,1625651318110,,,,,,,,-0.02,0.03,1.74,0,-7,-8,0.03,,80,7551,7,29,41,0.619,0.0,656,4.8,13.9,0.0,1,32.0,2.3,8.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36144,1625651318130,6,6,45,49,32,32,6,-0.04,0.04,1.59,0,-8,-9,0.05,0,80,7500,7,29,40,0.618,0.0,660,4.88,13.9,0.0,1,31.5,1.17,8.0,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0,0.01,0.6024
36164,1625651318150,,,,,,,,-0.04,0.06,1.59,0,-8,-10,0.07,,80,7479,7,29,39,0.619,0.0,653,4.83,13.9,0.0,1,31.0,2.3,7.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36184,1625651318170,,,,,,,,-0.03,0.04,1.58,0,-9,-10,0.05,,80,7390,7,29,39,0.618,0.0,662,4.86,13.9,0.0,1,31.0,1.17,7.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36204,1625651318190,,,,,,,,0.01,0.01,1.72,0,-9,-11,0.01,,80,7298,7,29,38,0.618,0.0,658,4.7,13.8,0.0,1,30.7,1.11,7.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36224,1625651318210,,,,,,,,0.05,0.02,1.91,0,-9,-11,0.05,,80,7275,7,29,37,0.617,0.0,660,4.76,13.7,0.0,1,30.4,2.19,7.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36244,1625651318230,8,4,46,48,32,32,6,0.03,-0.02,1.77,0,-7,-8,0.03,0,80,7194,7,29,37,0.617,0.0,647,4.78,13.8,0.0,1,30.4,1.06,7.9,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0,0.01,0.6041
36264,1625651318250,,,,,,,,-0.01,0.02,1.63,0,-5,-7,0.02,,80,7161,7,29,37,0.612,0.0,645,4.83,13.8,0.0,1,30.4,2.19,7.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36284,1625651318270,,,,,,,,0.02,0.01,1.77,0,-7,-8,0.02,,80,7064,7,29,37,0.609,0.0,648,4.78,13.9,0.0,1,30.4,1.06,7.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36304,1625651318290,,,,,,,,0.05,0.0,1.85,0,-6,-7,0.05,,80,7006,7,29,37,0.603,0.0,645,4.75,13.7,0.0,1,30.4,2.19,7.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36324,1625651318310,,,,,,,,-0.03,0.02,1.7,0,-4,-5,0.03,,80,6944,7,29,37,0.598,0.0,644,4.82,13.9,0.0,1,30.3,1.06,7.2,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36344,1625651318330,8,4,46,48,32,31,7,0.04,0.01,1.89,0,-5,-6,0.04,0,80,6815,7,29,37,0.614,0.0,636,4.82,14.0,0.0,1,30.1,2.19,7.2,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0,0.01,0.6057
36364,1625651318350,,,,,,,,-0.05,-0.02,1.73,0,-2,-4,0.06,,80,6747,7,29,37,0.634,0.0,635,4.76,13.8,0.0,1,30.0,2.19,6.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36384,1625651318370,,,,,,,,0.04,0.0,1.92,0,-5,-5,0.04,,80,6674,7,29,37,0.647,0.0,636,4.77,13.9,0.0,1,30.0,2.19,6.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36404,1625651318390,,,,,,,,-0.05,-0.0,1.76,0,-3,-4,0.05,,80,6581,7,29,37,0.666,0.0,634,4.81,13.9,0.0,1,29.9,1.06,6.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36424,1625651318409,,,,,,,,-0.05,-0.01,1.62,0,0,-1,0.05,,80,6423,7,29,37,0.689,0.0,636,4.72,13.9,0.0,1,29.8,2.19,6.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36444,1625651318429,7,6,46,48,32,32,6,0.05,-0.01,1.81,0,-3,-3,0.05,0,80,6351,7,29,37,0.704,0.0,624,4.73,13.8,0.0,1,29.7,2.19,6.8,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0,0.01,0.6074
36464,1625651318449,,,,,,,,0.1,-0.02,2.0,0,-6,-6,0.1,,80,6256,7,29,37,0.728,0.0,609,4.81,14.0,0.0,1,29.6,2.19,6.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36484,1625651318469,,,,,,,,0.1,-0.03,1.95,0,-9,-9,0.11,,80,6089,7,29,38,0.746,0.0,599,4.85,14.0,0.0,1,29.6,2.24,6.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36504,1625651318489,,,,,,,,0.12,-0.03,2.05,0,-12,-12,0.12,,80,5952,7,29,39,0.761,0.0,586,4.84,14.0,0.0,1,29.6,2.32,6.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36524,1625651318509,,,,,,,,0.18,-0.05,2.21,-0,-17,-16,0.19,,80,5769,7,29,40,0.793,0.0,571,4.85,14.0,0.0,1,29.4,2.38,6.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36544,1625651318529,6,6,45,48,32,32,6,0.19,-0.03,2.36,0,-15,-14,0.19,0,80,5583,7,29,41,0.814,0.0,566,4.78,13.8,0.0,1,29.1,2.46,6.3,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0,0.01,0.6091
36564,1625651318549,,,,,,,,0.04,-0.06,2.16,0,-6,-7,0.07,,80,5403,7,29,42,0.849,0.0,544,4.75,13.8,0.0,1,29.0,2.53,6.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36584,1625651318569,,,,,,,,0.16,-0.04,2.32,-0,-13,-15,0.16,,80,5266,7,29,43,0.865,0.0,530,4.85,14.0,0.0,1,29.0,2.62,6.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36604,1625651318589,,,,,,,,0.08,-0.05,2.12,-0,-5,-6,0.09,,80,5138,7,29,44,0.869,0.0,510,4.8,13.9,0.0,1,29.0,1.56,6.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36624,1625651318609,,,,,,,,0.12,0.0,2.28,-0,-11,-10,0.12,,80,4957,7,29,45,0.874,0.0,501,4.77,13.8,0.0,1,28.4,2.73,6.3,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36644,1625651318629,6,6,46,48,32,31,6,0.14,-0.03,2.09,-0,-9,-9,0.14,0,80,4828,7,29,46,0.877,0.0,483,4.83,14.0,0.0,1,27.2,2.67,6.3,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0,0.01,0.6107
36664,1625651318649,,,,,,,,0.16,-0.09,1.91,-0,-8,-8,0.18,,80,4734,7,29,47,0.881,0.0,455,4.79,14.0,0.0,1,26.4,2.66,5.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36684,1625651318669,,,,,,,,0.13,-0.1,1.75,-0,-5,-5,0.16,,80,4654,7,29,47,0.888,0.0,445,4.83,14.0,0.0,1,25.4,1.49,5.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36704,1625651318689,,,,,,,,0.11,-0.11,1.61,0,-2,-2,0.15,,80,4516,8,29,48,0.894,0.0,440,4.77,14.0,0.0,1,23.9,2.55,5.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36724,1625651318710,,,,,,,,0.1,-0.12,1.47,0,-1,-1,0.15,,80,4395,10,29,50,0.9,0.0,418,4.8,14.1,0.0,1,23.1,2.48,5.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36744,1625651318730,7,4,46,48,32,32,6,0.12,-0.15,1.35,0,-0,-1,0.19,0,80,4297,16,29,53,0.908,0.0,408,4.83,14.0,0.0,1,22.7,2.43,5.8,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0,0.01,0.6124
36764,1625651318750,,,,,,,,0.14,-0.17,1.24,0,0,-1,0.22,,80,4375,22,29,59,0.915,0.0,401,4.77,14.0,0.0,1,25.2,1.42,5.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36784,1625651318770,,,,,,,,0.16,-0.17,1.13,0,0,-2,0.23,,80,4512,26,29,68,0.923,0.0,405,4.81,14.0,0.0,1,29.5,4.79,8.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36804,1625651318790,,,,,,,,0.16,-0.17,1.04,0,1,-1,0.23,,80,4665,27,29,76,0.927,0.0,422,4.78,14.0,0.0,1,33.6,5.25,8.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36824,1625651318809,,,,,,,,0.11,-0.17,0.95,0,4,2,0.2,,80,4851,28,29,83,0.933,0.0,428,4.76,13.9,0.0,1,38.3,2.51,8.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36844,1625651318829,7,4,46,48,32,32,6,0.1,-0.1,1.21,0,2,0,0.14,0,80,5173,29,29,87,0.943,0.0,463,4.77,13.7,0.0,1,41.4,2.71,8.0,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0,0.01,0.6141
36864,1625651318849,,,,,,,,-0.01,-0.13,1.1,0,6,3,0.13,,80,5484,29,29,90,0.952,0.0,493,4.8,14.0,0.0,1,41.3,7.31,18.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36884,1625651318869,,,,,,,,0.08,-0.1,1.35,-1,1,-4,0.13,,80,5933,29,29,90,0.96,0.0,526,4.77,14.0,0.0,1,40.0,3.75,18.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36904,1625651318889,,,,,,,,-0.02,-0.12,1.23,-0,4,-2,0.12,,80,6427,25,29,89,0.968,0.0,565,4.79,13.9,0.0,1,43.6,3.39,18.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36924,1625651318909,,,,,,,,0.01,-0.14,1.45,-0,2,-3,0.14,,80,7064,16,29,85,0.965,0.0,611,4.79,13.9,0.0,1,46.2,2.96,18.6,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36944,1625651318929,6,5,46,48,32,32,6,0.03,-0.18,1.64,-0,1,-4,0.18,0,80,7512,8,29,79,0.963,0.0,649,4.68,13.8,0.0,1,40.8,6.93,18.6,0,0,0,1,0,0,250,250,0,52.961891,6.523255,0.0,20.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0,0.01,0.6157
36964,1625651318949,,,,,,,,0.05,-0.16,1.84,-0,-1,-6,0.17,,80,7518,7,29,72,0.96,0.0,653,4.77,13.9,0.0,1,40.2,3.76,13.1,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
36984,1625651318969,,,,,,,,0.07,-0.14,2.02,-0,-2,-7,0.16,,80,7600,7,29,67,0.959,0.0,653,4.7,13.9,0.0,1,39.1,2.26,13.1,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
